"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"	"Effort"	"Attend"	"Anx"
23	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	11	"Present"	6	4	5
24	"WITnumErr_ww"	5	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	4	"Absent"	7	6	2
25	"WITnumErr_ww"	32	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	21	"Present"	3	3	5
26	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	11	"Absent"	4	4	6
27	"WITnumErr_ww"	26	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	12	14	"Present"	6	7	6
28	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Absent"	4	5	4
29	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	15	"Present"	7	6	7
30	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	12	"Absent"	7	5	3
31	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	7	"Present"	5	4	6
32	"WITnumErr_ww"	27	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	19	"Absent"	5	4	6
33	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	9	"Present"	6	4	6
34	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	15	"Absent"	5	5	2
35	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	13	"Present"	7	6	6
36	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Absent"	7	7	6
37	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	20	"Present"	4	4	3
38	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	9	"Absent"	7	6	5
39	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	7	5	6
40	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	17	"Absent"	7	6	6
41	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	10	"Present"	5	6	5
42	"WITnumErr_ww"	30	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	27	"Absent"	4	5	5
43	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	5	"Present"	6	7	5
44	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	15	"Absent"	4	5	6
45	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	10	"Present"	7	7	6
46	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	16	"Absent"	6	5	6
47	"WITnumErr_ww"	11	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	8	"Present"	7	7	5
48	"WITnumErr_ww"	27	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	24	"Absent"	6	6	6
49	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	16	"Present"	6	6	6
50	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	23	"Absent"	7	7	4
51	"WITnumErr_ww"	23	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	20	"Present"	7	7	5
52	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	13	"Absent"	6	7	4
53	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	NA	NA	NA
54	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	15	"Absent"	6	3	4
55	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	13	9	"Present"	5	5	5
56	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	16	"Absent"	7	7	6
