"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
22	"WIT"	"Absent"	0.229166666666667	0.405405405405405	0.270833333333333	0.257142857142857	0.25	-0.0566705100789487	-0.0649412696600348
23	"WIT"	"Present"	0.645833333333333	0.470588235294118	0.5625	0.523809523809524	0.604166666666667	-0.0435746383478501	0.0417518244702614
24	"WIT"	"Absent"	0.645833333333333	0.411764705882353	0.625	0.222222222222222	0.635416666666667	-0.0434902984146946	-0.0246710839303895
25	"WIT"	"Present"	0.229166666666667	0.27027027027027	0.291666666666667	0.617647058823529	0.260416666666667	-0.262221522471278	-0.0870822391269184
26	"WIT"	"Absent"	0.416666666666667	0.392857142857143	0.5	0.458333333333333	0.458333333333333	-0.108516522308625	-0.120991933795754
27	"WIT"	"Present"	0.604166666666667	0.210526315789474	0.5	0.583333333333333	0.552083333333333	-0.315263111012676	0.0665080662042456
29	"WIT"	"Present"	0.229166666666667	0.45945945945946	0.229166666666667	0.405405405405405	0.229166666666667	-0.0315760003287416	-0.0206593307262675
30	"WIT"	"Absent"	0.75	0.5	0.541666666666667	0.545454545454545	0.645833333333333	-0.0183907111547611	0.168059460603812
31	"WIT"	"Present"	-0.0625	0.568627450980392	0.208333333333333	0.184210526315789	0.0729166666666667	0.120797122736513	-0.290185027926051
32	"WIT"	"Absent"	0.0625	0.311111111111111	0.0208333333333334	0.404255319148936	0.0416666666666667	-0.179699706821896	0.0340836972759017
33	"WIT"	"Present"	0.625	0.166666666666667	0.4375	0.333333333333333	0.53125	-0.31029123686272	0.15376430793823
34	"WIT"	"Absent"	0.166666666666667	0.475	0.166666666666667	0.375	0.166666666666667	-0.0100964907415137	-0.0167364223256168
35	"WIT"	"Present"	0.208333333333333	0.552631578947368	0.3125	0.393939393939394	0.260416666666667	0.0638357303821606	-0.130056541927135
37	"WIT"	"Present"	0.3125	0.606060606060606	0.270833333333333	0.571428571428571	0.291666666666667	0.082596489890493	0.0183920636732985
38	"WIT"	"Absent"	0.8125	0.666666666666667	0.583333333333333	0.45	0.697916666666667	0.166920718943324	0.186277521670044
40	"WIT"	"Absent"	-0.0208333333333334	0.469387755102041	0.125	0.404761904761905	0.0520833333333333	-0.0215220122195638	-0.15995448339185
41	"WIT"	"Present"	0.458333333333333	0.653846153846154	0.479166666666667	0.4	0.46875	0.163866510777364	-0.0571842976622042
42	"WIT"	"Absent"	0.0208333333333334	0.680851063829787	-0.0416666666666666	0.54	-0.0104166666666666	0.16352576772825	0.0588399390098859
43	"WIT"	"Present"	0.666666666666667	0.375	0.5	0.208333333333333	0.583333333333333	-0.0775421418930052	0.129008066204246
44	"WIT"	"Absent"	0.75	0.75	0.520833333333333	0.652173913043478	0.635416666666667	0.210764211716945	0.190200430070695
45	"WIT"	"Present"	0.416666666666667	0.357142857142857	0.5	0.416666666666667	0.458333333333333	-0.136092220810784	-0.120991933795754
46	"WIT"	"Absent"	0.604166666666667	0.526315789473684	0.4375	0.592592592592593	0.520833333333333	-0.00128221226449353	0.132930974604896
47	"WIT"	"Present"	0.375	0.566666666666667	0.520833333333333	0.347826086956522	0.447916666666667	0.0868779501939315	-0.184799569929305
48	"WIT"	"Absent"	0.291666666666667	0.411764705882353	0.25	0.666666666666667	0.270833333333333	-0.130301895344051	0.0196996998068488
49	"WIT"	"Present"	0.520833333333333	0.608695652173913	0.1875	0.41025641025641	0.354166666666667	0.116712664560599	0.315289274874166
50	"WIT"	"Absent"	0.291666666666667	0.735294117647059	0.125	0.547619047619048	0.208333333333333	0.216480622741018	0.15254551660815
51	"WIT"	"Present"	0.208333333333333	0.526315789473684	0.270833333333333	0.571428571428571	0.239583333333333	0.00285167330357105	-0.0857746029933681
52	"WIT"	"Absent"	0.4375	0.518518518518519	0.354166666666667	0.419354838709677	0.395833333333333	0.0247583704221599	0.054828185805764
54	"WIT"	"Absent"	0.395833333333333	0.689655172413793	0.3125	0.454545454545455	0.354166666666667	0.189021378812764	0.0574434580728646
55	"WIT"	"Present"	0.270833333333333	0.542857142857143	0.458333333333333	0.346153846153846	0.364583333333333	0.0633950586471017	-0.222543328195321
56	"WIT"	"Absent"	0.375	0.566666666666667	0.375	0.533333333333333	0.375	0.0506435445190698	-0.0298127836611196
57	"WIT"	"Present"	0.625	0.5	0.666666666666667	0.375	0.645833333333333	0.0149035092584863	-0.0897863561974899
58	"WIT"	"Absent"	0.3125	0.333333333333333	0.333333333333333	0.5	0.322916666666667	-0.176178919044562	-0.0480308447273523
60	"WIT"	"Absent"	-0.0416666666666667	0.5	0.0833333333333334	0.477272727272727	0.0208333333333333	-0.00507302298946218	-0.136505877791416
61	"WIT"	"Present"	-0.0833333333333333	0.519230769230769	-0.0416666666666666	0.38	-0.0625	0.0331576480238003	-0.0453267276567808
62	"WIT"	"Absent"	0.708333333333333	0.571428571428572	0.520833333333333	0.652173913043478	0.614583333333333	0.0321927831455163	0.148533763404029
63	"WIT"	"Present"	0.0416666666666667	0.347826086956522	0.125	0.738095238095238	0.0833333333333333	-0.2081923780621	-0.0974544833918496
64	"WIT"	"Absent"	0.291666666666667	0.558823529411765	0.145833333333333	0.585365853658537	0.21875	0.0326370983553651	0.130404547141267
65	"WIT"	"Present"	0.104166666666667	0.604651162790698	0.1875	0.333333333333333	0.145833333333333	0.127693259261311	-0.1013773917925
66	"WIT"	"Absent"	0.4375	0.518518518518519	0.604166666666667	0.473684210526316	0.520833333333333	0.0141464264851248	-0.210863447796839
67	"WIT"	"Present"	0.479166666666667	0.24	0.479166666666667	0.36	0.479166666666667	-0.242166599345148	-0.0363509643288708
68	"WIT"	"Absent"	0.145833333333333	0.365853658536585	0.145833333333333	0.48780487804878	0.145833333333333	-0.141276568315809	-0.0154287861920665
69	"WIT"	"Present"	0.0833333333333333	0.386363636363636	0.104166666666667	0.441860465116279	0.09375	-0.111792447811291	-0.0336468472582994
70	"WIT"	"Absent"	0	0.583333333333333	0.0208333333333334	0.574468085106383	0.0104166666666667	0.0592755208316365	-0.0284163027240983
71	"WIT"	"Present"	0.3125	0.636363636363636	0.4375	0.740740740740741	0.375	0.0798284356490065	-0.15873569206177
72	"WIT"	"Absent"	0.270833333333333	0.828571428571429	0.25	0.666666666666667	0.260416666666667	0.286504827345025	-0.00113363352648451
73	"WIT"	"Present"	0.4375	0.296296296296296	0.479166666666667	0.32	0.458333333333333	-0.17805725932521	-0.0780176309955376
74	"WIT"	"Absent"	0.791666666666667	0	0.6875	0.2	0.739583333333333	-0.45091442445058	0.0547393410022931
75	"WIT"	"Present"	0.125	0.642857142857143	0.166666666666667	0.55	0.145833333333333	0.123578585824695	-0.0584030889922835
76	"WIT"	"Absent"	0.895833333333333	0.2	0.666666666666667	0.375	0.78125	-0.285096490741514	0.181046977135843
77	"WIT"	"Present"	0.333333333333333	0.375	0.5625	0.619047619047619	0.447916666666667	-0.157765358698258	-0.270748175529739
78	"WIT"	"Absent"	0.666666666666667	0.75	0.479166666666667	0.4	0.572916666666667	0.26002035693121	0.151149035671129
79	"WIT"	"Present"	0	0.625	0.104166666666667	0.604651162790698	0.0520833333333334	0.0950466448567622	-0.116980180591633
80	"WIT"	"Absent"	0.3125	0.575757575757576	0.354166666666667	0.419354838709677	0.333333333333333	0.081997427661217	-0.0701718141942359
81	"WIT"	"Present"	0.1875	0.461538461538462	0.145833333333333	0.317073170731707	0.166666666666667	-0.0122434079569242	0.0262378804746001
82	"WIT"	"Absent"	0.0416666666666667	0.326086956521739	0.145833333333333	0.365853658536585	0.09375	-0.157223015075649	-0.119595452858733
83	"WIT"	"Present"	0.6875	0.333333333333333	0.520833333333333	0.130434782608696	0.604166666666667	-0.103993188989173	0.127700430070695
84	"WIT"	"Absent"	0.583333333333333	0.3	0.479166666666667	0.36	0.53125	-0.182166599345148	0.0678157023377959
85	"WIT"	"Present"	0.791666666666667	0.7	0.541666666666667	0.272727272727273	0.666666666666667	0.234880041506435	0.209726127270478
86	"WIT"	"Absent"	0.25	0.472222222222222	0.4375	0.259259259259259	0.34375	0.00973291818106174	-0.22123569206177
87	"WIT"	"Present"	0.666666666666667	0.1875	0.458333333333333	0.307692307692308	0.5625	-0.284449542168078	0.173290005138013
88	"WIT"	"Absent"	0.333333333333333	0.40625	0.375	0.366666666666667	0.354166666666667	-0.0772187732990883	-0.0714794503277862
89	"WIT"	"Present"	0.375	0.766666666666667	0.1875	0.128205128205128	0.28125	0.329775654027752	0.169455941540833
90	"WIT"	"Absent"	0.520833333333333	0.478260869565217	0.229166666666667	0.648648648648649	0.375	-0.0602863425964827	0.271007335940399
91	"WIT"	"Present"	0.5625	0.476190476190476	0.395833333333333	0.344827586206897	0.479166666666667	-0.00301255484570404	0.135546246871997
92	"WIT"	"Absent"	0.604166666666667	0.68421052631579	0.583333333333333	0.65	0.59375	0.145399359974237	-0.0220558116632887
93	"WIT"	"Present"	0.4375	0.518518518518519	0.270833333333333	0.371428571428571	0.354166666666667	0.0341196209666158	0.143392063673298
94	"WIT"	"Absent"	0.229166666666667	0.648648648648649	0.458333333333333	0.5	0.34375	0.139136396270753	-0.264209994861987
95	"WIT"	"Present"	0.458333333333333	0.384615384615385	0.208333333333333	0.184210526315789	0.333333333333333	-0.0632149436284943	0.230648305407283
96	"WIT"	"Absent"	0.375	0.533333333333333	0.291666666666667	0.676470588235294	0.333333333333333	-0.0106482295900416	0.0587510942064149
97	"WIT"	"Present"	0.625	0.611111111111111	0.5625	0.571428571428571	0.59375	0.0876469949409979	0.0209184911369281
98	"WIT"	"Absent"	0.229166666666667	0.675675675675676	0.229166666666667	0.594594594594595	0.229166666666667	0.147686630708086	-0.0206593307262677
99	"WIT"	"Present"	0.708333333333333	0.142857142857143	0.583333333333333	0.5	0.645833333333333	-0.366655109520752	0.0821108550033779
100	"WIT"	"Absent"	0.395833333333333	0.620689655172414	0.458333333333333	0.423076923076923	0.427083333333333	0.126202486878446	-0.0975433281953206
101	"WIT"	"Present"	0.8125	0.777777777777778	0.645833333333333	0.588235294117647	0.729166666666667	0.251030870127143	0.119854613269394
