"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
20	"AP"	"Absent"	0.770833333333333	0.818181818181818	0.625	0.833333333333333	0.697916666666667	0.293766851368891	0.240873820433392
21	"AP"	"Present"	0.5625	0.333333333333333	0.541666666666667	0.681818181818182	0.552083333333333	-0.153765671437329	0.101772501995822
22	"AP"	"Absent"	-0.0208333333333334	0.510204081632653	0.270833333333333	0.657142857142857	0.125	0.0291822478231595	-0.256556782926281
23	"AP"	"Present"	0.645833333333333	0.352941176470588	0.6875	0.333333333333333	0.666666666666667	-0.048331115602865	0.0639498092615698
24	"AP"	"Absent"	0.708333333333333	0.285714285714286	0.604166666666667	0.315789473684211	0.65625	-0.111237210754274	0.195681824157333
25	"AP"	"Present"	0.3125	0.454545454545455	0.375	0.533333333333333	0.34375	0.00401609257621169	-0.0097634682126519
26	"AP"	"Absent"	0.666666666666667	0.1875	0.75	0.166666666666667	0.708333333333333	-0.172724733826962	0.0328591314230808
27	"AP"	"Present"	0.354166666666667	0.290322580645161	0.333333333333333	0.0625	0.34375	-0.0442474292777435	0.0665192059018964
28	"AP"	"Absent"	0.25	0.194444444444444	0.354166666666667	0.387096774193548	0.302083333333333	-0.220068995450458	-0.0549554644887111
29	"AP"	"Present"	0.375	0.333333333333333	0.229166666666667	0.324324324324324	0.302083333333333	-0.0657201718078771	0.173892557854934
30	"AP"	"Absent"	0.354166666666667	0.483870967741935	0.25	0.611111111111111	0.302083333333333	0.0141860785909966	0.135751220797659
31	"AP"	"Present"	-0.0833333333333334	0.596153846153846	0.166666666666667	0.25	0.0416666666666666	0.215405333203639	-0.232516764306577
32	"AP"	"Absent"	0.125	0.238095238095238	0.166666666666667	0.375	0.145833333333333	-0.173438943539838	-0.0241834309732441
33	"AP"	"Present"	0.333333333333333	0.46875	0.5	0.583333333333333	0.416666666666667	0.00590637055680974	-0.0927781572229631
35	"AP"	"Present"	0.208333333333333	0.5	0.270833333333333	0.457142857142857	0.239583333333333	0.068235236086296	-0.0273901162596146
37	"AP"	"Present"	0.4375	0.740740740740741	0.395833333333333	0.827586206896552	0.416666666666667	0.217741206970796	0.0979285280634073
38	"AP"	"Absent"	0.8125	0.555555555555556	0.520833333333333	0.130434782608696	0.666666666666667	0.204254203956092	0.369080505719763
40	"AP"	"Absent"	0.291666666666667	0.588235294117647	0.0625	0.333333333333333	0.177083333333333	0.186963002044194	0.229023254313127
41	"AP"	"Present"	0.416666666666667	0.5	0.479166666666667	0.24	0.447916666666667	0.121714340544582	0.00786317983431097
42	"AP"	"Absent"	0.125	0.452380952380952	0.25	0.611111111111111	0.1875	-0.0173039367699864	-0.0934154458690071
43	"AP"	"Present"	0.5	0.333333333333333	0.458333333333333	0.153846153846154	0.479166666666667	-0.0237338960131292	0.108504516891585
44	"AP"	"Absent"	0.4375	0.555555555555556	0.541666666666667	0.272727272727273	0.489583333333333	0.169209648299008	-0.0232274980041781
45	"AP"	"Present"	0.479166666666667	0.48	0.625	0.611111111111111	0.552083333333333	0.0103151108490612	-0.0507928462332746
46	"AP"	"Absent"	0.541666666666667	0.272727272727273	0.770833333333333	0.181818181818182	0.65625	-0.0912290573039156	-0.10944887230086
